:START_ID|:END_ID|:TYPE|order:int
#83|#83_1|EXPONENT|1
#84|#79|UNIT|0
#84|#84_1|EXPONENT|1
#85|#85_0|ELEMENTS|0
#85_0|#81|ELEMENTS|0
#85_0|#82|ELEMENTS|1
#85_0|#83|ELEMENTS|2
#85_0|#84|ELEMENTS|3
#85|#85_1|UNITTYPE|1
#85|#85_2|USERDEFINEDTYPE|2
#87|#44|UNIT|0
#87|#87_1|EXPONENT|1
#88|#60|UNIT|0
#88|#88_1|EXPONENT|1
#89|#89_0|ELEMENTS|0
#89_0|#87|ELEMENTS|0
#89_0|#88|ELEMENTS|1
#89|#89_1|UNITTYPE|1
#89|#89_2|USERDEFINEDTYPE|2
#91|#91_0|DIMENSIONS|0
#91|#91_1|UNITTYPE|1
#91|#91_2|PREFIX|2
#91|#91_3|NAME|3
#92|#44|UNIT|0
#92|#92_1|EXPONENT|1
#93|#52|UNIT|0
#93|#93_1|EXPONENT|1
#94|#60|UNIT|0
#94|#94_1|EXPONENT|1
#95|#95_0|ELEMENTS|0
#95_0|#92|ELEMENTS|0
#95_0|#93|ELEMENTS|1
#95_0|#94|ELEMENTS|2
#95|#95_1|UNITTYPE|1
#95|#95_2|USERDEFINEDTYPE|2
#97|#52|UNIT|0
#97|#97_1|EXPONENT|1
#98|#44|UNIT|0
#98|#98_1|EXPONENT|1
#99|#60|UNIT|0
#99|#99_1|EXPONENT|1
#100|#44|UNIT|0
#100|#100_1|EXPONENT|1
#101|#101_0|ELEMENTS|0
#101_0|#97|ELEMENTS|0
#101_0|#98|ELEMENTS|1
#101_0|#99|ELEMENTS|2
#101_0|#100|ELEMENTS|3
#101|#101_1|UNITTYPE|1
#101|#101_2|USERDEFINEDTYPE|2
#103|#52|UNIT|0
#103|#103_1|EXPONENT|1
#104|#44|UNIT|0
#104|#104_1|EXPONENT|1
#105|#60|UNIT|0
#105|#105_1|EXPONENT|1
#106|#44|UNIT|0
#106|#106_1|EXPONENT|1
#107|#107_0|ELEMENTS|0
#107_0|#103|ELEMENTS|0
#107_0|#104|ELEMENTS|1
#107_0|#105|ELEMENTS|2
#107_0|#106|ELEMENTS|3
#107|#107_1|UNITTYPE|1
#107|#107_2|USERDEFINEDTYPE|2
#109|#109_0|UNITS|0
#109_0|#43|UNITS|0
#109_0|#45|UNITS|1
#109_0|#46|UNITS|2
#109_0|#50|UNITS|3
#109_0|#52|UNITS|4
#109_0|#55|UNITS|5
#109_0|#58|UNITS|6
#109_0|#60|UNITS|7
#109_0|#61|UNITS|8
#109_0|#63|UNITS|9
#109_0|#67|UNITS|10
#109_0|#72|UNITS|11
#109_0|#74|UNITS|12
#109_0|#75|UNITS|13
#109_0|#76|UNITS|14
#109_0|#77|UNITS|15
#109_0|#78|UNITS|16
#109_0|#79|UNITS|17
#109_0|#80|UNITS|18
#109_0|#85|UNITS|19
#109_0|#89|UNITS|20
#109_0|#91|UNITS|21
#109_0|#95|UNITS|22
#109_0|#101|UNITS|23
#109_0|#107|UNITS|24
#111|#6|LOCATION|0
#111|#111_1|AXIS|1
#111|#111_2|REFDIRECTION|2
#112|#112_0|DIRECTIONRATIOS|0
#114|#114_0|CONTEXTIDENTIFIER|0
#114|#114_1|CONTEXTTYPE|1
#114|#114_2|COORDINATESPACEDIMENSION|2
#114|#114_3|PRECISION|3
#114|#111|WORLDCOORDINATESYSTEM|4
#114|#112|TRUENORTH|5
#118|#118_0|CONTEXTIDENTIFIER|0
#118|#118_1|CONTEXTTYPE|1
#118|#118_2|COORDINATESPACEDIMENSION|2
#118|#118_3|PRECISION|3
#118|#118_4|WORLDCOORDINATESYSTEM|4
#118|#118_5|TRUENORTH|5
#118|#114|PARENTCONTEXT|6
#118|#118_7|TARGETSCALE|7
#118|#118_8|TARGETVIEW|8
#118|#118_9|USERDEFINEDTARGETVIEW|9
#120|#120_0|CONTEXTIDENTIFIER|0
#120|#120_1|CONTEXTTYPE|1
#120|#120_2|COORDINATESPACEDIMENSION|2
#120|#120_3|PRECISION|3
#120|#120_4|WORLDCOORDINATESYSTEM|4
#120|#120_5|TRUENORTH|5
#120|#114|PARENTCONTEXT|6
#120|#120_7|TARGETSCALE|7
#120|#120_8|TARGETVIEW|8
#120|#120_9|USERDEFINEDTARGETVIEW|9
#121|#121_0|CONTEXTIDENTIFIER|0
#121|#121_1|CONTEXTTYPE|1
#121|#121_2|COORDINATESPACEDIMENSION|2
#121|#121_3|PRECISION|3
#121|#121_4|WORLDCOORDINATESYSTEM|4
#121|#121_5|TRUENORTH|5
