IfcId:ID|:LABEL
#354|IFCEDGECURVE
#355|IFCCARTESIANPOINT
#357|IFCVERTEXPOINT
#358|IFCDIRECTION
#360|IFCVECTOR
#361|IFCLINE
#362|IFCTRIMMEDCURVE
#365|IFCEDGECURVE
#366|IFCDIRECTION
#368|IFCVECTOR
#369|IFCLINE
#370|IFCTRIMMEDCURVE
#373|IFCEDGECURVE
#374|IFCCARTESIANPOINT
#376|IFCVERTEXPOINT
#377|IFCVECTOR
#378|IFCLINE
#379|IFCTRIMMEDCURVE
#382|IFCEDGECURVE
#383|IFCCARTESIANPOINT
#385|IFCVERTEXPOINT
#386|IFCDIRECTION
#388|IFCVECTOR
#389|IFCLINE
#390|IFCTRIMMEDCURVE
#393|IFCEDGECURVE
#394|IFCVECTOR
#395|IFCLINE
#396|IFCTRIMMEDCURVE
#399|IFCEDGECURVE
#400|IFCCARTESIANPOINT
#402|IFCVERTEXPOINT
#403|IFCDIRECTION
#405|IFCVECTOR
#406|IFCLINE
#407|IFCTRIMMEDCURVE
#410|IFCEDGECURVE
#411|IFCCARTESIANPOINT
#413|IFCVERTEXPOINT
#414|IFCDIRECTION
#416|IFCVECTOR
#417|IFCLINE
#418|IFCTRIMMEDCURVE
#421|IFCEDGECURVE
#422|IFCDIRECTION
#424|IFCVECTOR
#425|IFCLINE
#426|IFCTRIMMEDCURVE
#429|IFCEDGECURVE
#430|IFCCARTESIANPOINT
#432|IFCVERTEXPOINT
#433|IFCVECTOR
#434|IFCLINE
#435|IFCTRIMMEDCURVE
#438|IFCEDGECURVE
#439|IFCCARTESIANPOINT
#441|IFCVERTEXPOINT
#442|IFCDIRECTION
#444|IFCVECTOR
#445|IFCLINE
#446|IFCTRIMMEDCURVE
#449|IFCEDGECURVE
#450|IFCVECTOR
#451|IFCLINE
#452|IFCTRIMMEDCURVE
#455|IFCEDGECURVE
#456|IFCCARTESIANPOINT
#458|IFCVERTEXPOINT
#459|IFCDIRECTION
#461|IFCVECTOR
#462|IFCLINE
#463|IFCTRIMMEDCURVE
#466|IFCEDGECURVE
#467|IFCCARTESIANPOINT
#469|IFCVERTEXPOINT
#470|IFCDIRECTION
#472|IFCVECTOR
#473|IFCLINE
#474|IFCTRIMMEDCURVE
#477|IFCEDGECURVE
#478|IFCDIRECTION
#480|IFCVECTOR
#481|IFCLINE
#482|IFCTRIMMEDCURVE
#485|IFCEDGECURVE
#486|IFCCARTESIANPOINT
#488|IFCVERTEXPOINT
#489|IFCVECTOR
#490|IFCLINE
#491|IFCTRIMMEDCURVE
#494|IFCEDGECURVE
#495|IFCCARTESIANPOINT
#497|IFCVERTEXPOINT
#498|IFCDIRECTION
#500|IFCVECTOR
#501|IFCLINE
#502|IFCTRIMMEDCURVE
#505|IFCEDGECURVE
#506|IFCVECTOR
#507|IFCLINE
#508|IFCTRIMMEDCURVE
#511|IFCEDGECURVE
#512|IFCDIRECTION
#514|IFCVECTOR
#515|IFCLINE
#516|IFCTRIMMEDCURVE
#519|IFCEDGECURVE
#520|IFCDIRECTION
#522|IFCVECTOR
#523|IFCLINE
#524|IFCTRIMMEDCURVE
#527|IFCEDGECURVE
#528|IFCORIENTEDEDGE
#529|IFCORIENTEDEDGE
#530|IFCORIENTEDEDGE
#531|IFCORIENTEDEDGE
#532|IFCEDGELOOP
#534|IFCFACEOUTERBOUND
#535|IFCCARTESIANPOINT
#537|IFCDIRECTION
#539|IFCAXIS2PLACEMENT3D
#540|IFCPLANE
#541|IFCADVANCEDFACE
#544|IFCORIENTEDEDGE
#545|IFCORIENTEDEDGE
#546|IFCORIENTEDEDGE
#547|IFCORIENTEDEDGE
#548|IFCEDGELOOP
#550|IFCFACEOUTERBOUND
#551|IFCCARTESIANPOINT
#553|IFCDIRECTION
#555|IFCDIRECTION
#557|IFCAXIS2PLACEMENT3D
#558|IFCPLANE
#559|IFCADVANCEDFACE
#561|IFCORIENTEDEDGE
#562|IFCORIENTEDEDGE
#563|IFCORIENTEDEDGE
#564|IFCORIENTEDEDGE
#565|IFCEDGELOOP
#567|IFCFACEOUTERBOUND
#568|IFCCARTESIANPOINT
#570|IFCDIRECTION
#572|IFCAXIS2PLACEMENT3D
#573|IFCPLANE
#574|IFCADVANCEDFACE
#576|IFCORIENTEDEDGE
#577|IFCORIENTEDEDGE
#578|IFCORIENTEDEDGE
#579|IFCORIENTEDEDGE
#580|IFCEDGELOOP
#582|IFCFACEOUTERBOUND
#583|IFCCARTESIANPOINT
#585|IFCDIRECTION
#587|IFCDIRECTION
#589|IFCAXIS2PLACEMENT3D
#590|IFCPLANE
#591|IFCADVANCEDFACE
#593|IFCORIENTEDEDGE
#594|IFCORIENTEDEDGE
#595|IFCORIENTEDEDGE
#596|IFCORIENTEDEDGE
#597|IFCEDGELOOP
#599|IFCFACEOUTERBOUND
#600|IFCCARTESIANPOINT
#602|IFCDIRECTION
#604|IFCAXIS2PLACEMENT3D
#605|IFCPLANE
#606|IFCADVANCEDFACE
#608|IFCORIENTEDEDGE
#609|IFCORIENTEDEDGE
#610|IFCORIENTEDEDGE
#611|IFCORIENTEDEDGE
#612|IFCEDGELOOP
#614|IFCFACEOUTERBOUND
#615|IFCCARTESIANPOINT
#617|IFCDIRECTION
#619|IFCDIRECTION
#621|IFCAXIS2PLACEMENT3D
#622|IFCPLANE
#623|IFCADVANCEDFACE
#625|IFCORIENTEDEDGE
#626|IFCORIENTEDEDGE
#627|IFCORIENTEDEDGE
#628|IFCORIENTEDEDGE
#629|IFCEDGELOOP
#631|IFCFACEOUTERBOUND
#632|IFCCARTESIANPOINT
#634|IFCDIRECTION
#636|IFCAXIS2PLACEMENT3D
#637|IFCPLANE
#638|IFCADVANCEDFACE
